iccs,unit,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS02011,P_HTHAB,LI	329.18 	323.20 	279.60 	189.17 	215.77 	214.52 	252.89 	248.90 
ICCS02011,P_HTHAB,LT	7.33 	6.93 	7.10 	5.93 	6.75 	7.80 	6.91 	7.81 
ICCS02011,P_HTHAB,LU	108.00 	132.44 	132.77 	128.99 	133.05 	118.71 	476.19 	478.92 
ICCS02011,P_HTHAB,LV	26.89 	28.43 	22.63 	64.80 	55.96 	57.82 	56.18 	61.41 
ICCS02011,P_HTHAB,ME	22.50 	20.76 	27.86 	27.08 	25.97 	31.18 	30.14 	31.84 
ICCS02011,P_HTHAB,MK	: 	10.41 	10.47 	10.24 	11.62 	12.08 	11.13 	10.41 
ICCS02011,P_HTHAB,MT	42.62 	37.61 	51.74 	41.67 	43.62 	43.48 	42.10 	48.06 
ICCS02011,P_HTHAB,NL	282.21 	299.18 	314.97 	342.49 	356.78 	363.68 	398.46 	420.62 
ICCS02011,P_HTHAB,NO	: 	46.54 	50.80 	55.78 	57.66 	60.21 	64.45 	69.22 
ICCS02011,P_HTHAB,PL	14.52 	18.75 	22.52 	25.54 	28.12 	28.96 	32.93 	: 
ICCS02011,P_HTHAB,PT	4.52 	5.20 	4.84 	6.65 	7.68 	8.16 	314.35 	317.38 
ICCS02011,P_HTHAB,RO	1.50 	11.43 	87.77 	85.68 	57.43 	57.31 	44.38 	45.83 
ICCS02011,P_HTHAB,RS	16.05 	16.05 	17.91 	18.33 	18.05 	19.04 	19.66 	21.48 
ICCS02011,P_HTHAB,SE	47.52 	47.38 	48.76 	56.29 	60.37 	59.89 	932.13 	920.90 
ICCS02011,P_HTHAB,SI	74.65 	80.39 	89.81 	98.86 	96.28 	106.60 	107.12 	106.20 
ICCS02011,P_HTHAB,SK	35.05 	36.13 	37.28 	40.39 	41.30 	45.01 	48.64 	50.26 
ICCS02011,P_HTHAB,TR	: 	: 	: 	351.06 	323.37 	304.41 	271.35 	: 
ICCS02011,P_HTHAB,UKC-L	744.32 	651.90 	566.50 	551.63 	602.28 	661.46 	726.23 	767.40 
ICCS02011,P_HTHAB,UKM	: 	59.32 	61.43 	68.65 	88.87 	104.70 	107.75 	1540.54 
ICCS02011,P_HTHAB,UKN	65.29 	63.79 	59.84 	70.26 	79.91 	80.66 	89.86 	87.50 
ICCS02011,P_HTHAB,XK	: 	: 	: 	: 	208.62 	170.28 	162.29 	156.79 
ICCS020221,NR,AL	8 	2 	5 	2 	2 	9 	5 	10 
ICCS020221,NR,AT	3 	1 	4 	11 	5 	9 	5 	11 
ICCS020221,NR,BA	0 	3 	5 	2 	1 	1 	6 	8 
ICCS020221,NR,BE	1143 	1146 	1163 	1185 	1194 	1122 	1080 	1013 
ICCS020221,NR,BG	74 	95 	87 	75 	77 	118 	142 	127 
ICCS020221,NR,CH	4 	1 	3 	5 	4 	0 	359 	309 
ICCS020221,NR,CY	24 	21 	19 	30 	25 	27 	26 	12 
