unit,facility,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
HAB_P,HBEDT,CY	: 	292.80 	292.76 	293.38 	288.94 	284.77 	280.41 	265.79 	266.40 	268.85 	270.50 	266.64 	: 	: 	: 	: 	221.10 	: 	: 	: 	: 	197.35 	: 	191.46 	183.47 	175.50 	170.31 	166.33 	164.79 	164.80 	161.72 	164.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,CZ	: 	154.20 	154.93 b	154.88 	150.12 	146.29 	142.34 	140.57 	139.13 	136.87 	134.69 	132.40 	130.97 	129.49 	128.89 	129.00 	128.43 b	129.27 	126.04 	124.39 	121.01 	117.64 	: 	: 	: 	: 	100.51 	: 	: 	: 	: 	98.93 	: 	: 	: 	: 	99.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,DE	: 	122.95 	121.53 	121.93 	122.21 	121.62 	121.25 	121.37 	121.75 	121.37 	120.52 	118.10 	116.58 	114.36 	112.70 	110.99 	109.69 	108.76 	107.59 	106.64 	104.53 	103.29 	102.98 	103.48 	101.17 	98.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,DK	: 	395.24 	371.92 b	325.67 	: 	319.54 b	285.89 	286.23 	280.07 	270.92 	263.78 	259.28 	251.82 	241.94 	233.33 	237.07 	232.90 	227.89 	220.26 	215.38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,EE	: 	201.63 	199.78 	199.79 b	180.97 	188.35 	190.85 	187.03 	178.04 	182.57 	179.71 	184.60 	175.46 	172.27 	164.72 	148.92 	139.35 	132.81 	131.90 	129.66 	126.57 	119.78 	116.80 	103.92 	103.29 	88.58 	86.56 	83.82 	83.28 	82.70 	81.97 	81.99 	81.80 	81.27 	80.91 	80.85 	82.07 	85.42 	88.42 	90.36 	90.48 	91.63 	91.79 	91.33 	91.73 	91.34 	92.33 	92.81 	91.97 	91.98 	92.87 	93.23 	: 	: 	: 	: 	: 
HAB_P,HBEDT,EL	: 	235.52 	235.97 	235.76 	225.92 	227.40 	226.93 	206.25 	209.44 	207.70 	207.60 	211.46 	213.25 	212.97 	212.19 	209.46 	211.99 	211.71 	206.40 	205.37 	203.65 	203.62 	203.77 	200.70 	201.66 	199.94 	197.88 	196.11 	194.56 	193.27 	188.54 	182.49 	173.36 	171.26 	166.10 	162.39 	160.53 	158.94 	159.85 	157.46 	156.86 	154.64 	157.55 	159.11 	158.84 	157.05 	160.94 	163.27 	164.12 	166.45 	166.81 	169.91 	175.97 	170.32 	171.55 	172.17 	172.72 
HAB_P,HBEDT,ES	: 	335.68 	337.12 	337.45 	334.11 	323.71 	317.28 	313.78 	310.04 	305.63 	301.67 	297.53 	292.66 	289.85 	282.77 	278.20 	271.90 	266.80 	264.79 	261.54 	257.30 	254.69 	249.60 	246.56 	241.85 	236.78 	234.18 	230.20 	227.64 	225.71 	224.23 	219.02 	: 	: 	: 	: 	186.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	214.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,EU28	: 	194.35 	192.68 	191.41 	189.61 	187.59 	186.08 	181.72 	178.95 	177.17 	174.33 	171.27 	168.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,FI	: 	229.71 	220.75 	205.25 	188.74 	181.11 	170.83 	159.94 	152.25 	148.52 	143.13 	141.79 	140.86 	138.06 	136.03 	134.01 	132.63 b	131.49 	128.66 	126.64 	123.21 	123.13 	122.04 	121.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HAB_P,HBEDT,FR	: 	163.20 	161.14 	159.11 	157.70 	157.32 	155.57 	150.12 	144.87 	141.64 	140.63 	138.41 	135.31 	132.53 	129.66 	127.76 	125.47 	121.93 	118.26 	114.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
